Datum Tid (UTC);Havsvattenstånd, RW timvärde;Kvalitet;Mätdjup
27-04-2009 15:00;-12.2;O;0
27-04-2009 16:00;-11.7;O;0
27-04-2009 17:00;-12.8;O;0
27-04-2009 18:00;-8.1;O;0
27-04-2009 19:00;-0.2;O;0
27-04-2009 20:00;-4.6;O;0
27-04-2009 21:00;-3.3;O;0
27-04-2009 22:00;-3.3;O;0
27-04-2009 23:00;-6.8;O;0
28-04-2009 00:00;-4.8;O;0
28-04-2009 01:00;-5.7;O;0
28-04-2009 02:00;-9.6;O;0
28-04-2009 03:00;-12.7;O;0
28-04-2009 04:00;-12.9;O;0
28-04-2009 05:00;-13.9;O;0
28-04-2009 06:00;-10.7;O;0
28-04-2009 07:00;-6.9;O;0
28-04-2009 08:00;-3.3;O;0
28-04-2009 09:00;-0.8;O;0
28-04-2009 10:00;-0.3;O;0
28-04-2009 11:00;-2.1;O;0
28-04-2009 12:00;-4.4;O;0
28-04-2009 13:00;-6.8;O;0
28-04-2009 14:00;-8.6;O;0
28-04-2009 15:00;-17.4;O;0
28-04-2009 16:00;-19.2;O;0
28-04-2009 17:00;-17.9;O;0
28-04-2009 18:00;-18;O;0
28-04-2009 19:00;-15.2;O;0
28-04-2009 20:00;-9.7;O;0
28-04-2009 21:00;-8.4;O;0
28-04-2009 22:00;-10.4;O;0
28-04-2009 23:00;-11.5;O;0
29-04-2009 00:00;-13.6;O;0
29-04-2009 01:00;-14.6;O;0
29-04-2009 02:00;-18.8;O;0
29-04-2009 03:00;-23.3;O;0
29-04-2009 04:00;-26.5;O;0
29-04-2009 05:00;-23;O;0
29-04-2009 06:00;-21.5;O;0
29-04-2009 07:00;-20.6;O;0
29-04-2009 08:00;-14.7;O;0
29-04-2009 09:00;-8.4;O;0
29-04-2009 10:00;-5.9;O;0
29-04-2009 11:00;-6.3;O;0
29-04-2009 12:00;-5.6;O;0
29-04-2009 13:00;-5.8;O;0
29-04-2009 14:00;-10;O;0
29-04-2009 15:00;-15;O;0
29-04-2009 16:00;-18.8;O;0
29-04-2009 17:00;-21.1;O;0
29-04-2009 18:00;-21.4;O;0
29-04-2009 19:00;-21.6;O;0
29-04-2009 20:00;-19.1;O;0
29-04-2009 21:00;-15.8;O;0
29-04-2009 22:00;-13.1;O;0
29-04-2009 23:00;-12.8;O;0
30-04-2009 00:00;-13.1;O;0
30-04-2009 01:00;-13.9;O;0
30-04-2009 02:00;-16.6;O;0
30-04-2009 03:00;-21.3;O;0
30-04-2009 04:00;-25.3;O;0
